"institutioncode";"collectioncode";"cnt"
\N;\N;"19973"
\N;"BIOUG-DNA";"5"
\N;"Bird";"5000"
"AM";"Ichthyology";"44"
"AWI";"Diatoms";"805"
"B";"17264";"1"
"B";"Diatom Reference Library";"3635"
"B";"Diatoms";"362"
"B";"DNA Bank";"17641"
"B";"Herbarium Berolinense";"17777"
"BAMZ";"Fish";"1"
"BGBM";"AlgaTerra";"40"
"BioCon";"Fish";"56"
"BMNH(E)";"DNA Bank";"160"
"BMNH(E)";"Invertebrates";"160"
"BPBM";"I";"11"
"C";"Botanic Garden Copenhagen";"51"
"C";"Herbarium Hauniense";"406"
"Canadian National Collection of Insects, Arachnids and Nematodes";"BIOUG-DNA";"1"
"CAS";"ICH";"327"
"CAS";"ORN";"1"
"CMN";\N;"5746"
"CNGB";"cell culture collection";"22"
"CORBIDI";"Tissue Collection";"12285"
"Cuni";"tissue bank";"8035"
"DBG";"Tissue and DNA Bank";"2894"
"DMNS";"Bird";"28236"
"DMNS";"Herp";"252"
"DMNS";"Mamm";"27825"
"DMNS";"Para";"989"
"DSMZ";"DNA Bank";"12737"
"DSMZ";"Fungi";"2417"
"DSMZ";"Prokarya";"22144"
"FMNH";"Birds";"6"
"FMNH";"Fishes";"1"
"FR";"Herbarium Senckenbergianum";"6184"
"FR";"Herbarium Senckenbergianum (FR) - Fungi";"2063"
"Fundação Oswaldo Cruz (Fiocruz)";"COLPROT";"84"
"GLM";"Herbarium Senckenbergianum (GLM) - Lichenes";"80"
"HBG";"LivingCollections";"202"
"HBG";"TissueCollection";"16"
"HM";"CGR";"1"
"HNHM";"BRY";"165"
"HNHM";"CGR";"11435"
"HNHM";"COL";"8"
"HNHM";"HER";"79"
"HNHM";"ICH";"7"
"HNHM";"MAM";"2832"
"HNHM";"MOL";"674"
"HNHM";"MYC";"271"
"HNHM";"PED-CHILO";"75"
"HNHM";"PED-CHILOPR";"25"
"HNHM";"PED-COLL";"16"
"HNHM";"PED-ISO";"1"
"HNHM";"PED-OPI";"1"
"HNHM";"PED-PAL";"1"
"HNHM";"TRA";"185"
"HNT";"DNA Bank";"18"
"HNT";"Herbarium";"204"
"HNT";"Tissue Collection";"208"
"IAvH";"IAvH-CT";"9724"
"INRAE";"COLISA";"6"
"INRAE";"tissue collection";"323746"
"IVB";"tissue bank";"12548"
"JBRJ";"RB";"1462"
"JBRJ";"RBcarpo";"5"
"JBRJ";"RBdna";"5739"
"JBRJ";"RBtecido";"1574"
"JBRJ";"RBv";"342"
"JBRJ";"RBvb";"1"
"JBRJ";"RBvc";"25"
"JBRJ";"RBvo";"14"
"JNTBGRI";"Tissues";"92"
"K";"DNA Bank";"2793"
"K";"Herbarium";"1387"
"K";"Spirit Collection";"20"
"KHD";"vascular plants";"11"
"KU";"KUI";"3130"
"KU";"KUIT";"11381"
"LACM";"Fish";"38"
"LAGU";"Herbarium LAGU";"87"
"LSUMZ";"birdsTissues";"22"
"MCZ";"ICH";"1017"
"MfN";"Mollusc Collection";"4847"
"MfN";"Tissue Collection";"11311"
"MO";"MO";"56681"
"MQU";"Fishes";"4"
"MSB";"Bird";"89380"
"MSB";"Fish";"34390"
"MSB";"Herp";"7372"
"MSB";"Mamm";"696719"
"MSB";"Para";"10959"
"MVZ";"Bird";"52187"
"MVZ";"Herp";"123655"
"MVZ";"Mamm";"114533"
"NHMD";"DNA and tissue collection";"814"
"NHMD";"Tissue collection";"37164"
"NHMO";"BI";"115343"
"NHMO";"DAR";"12972"
"NHMO";"DFH";"170735"
"NHMO";"DMA";"40214"
"NHMO";"DOT";"433"
"NHMUK";"BMNH(E)";"43382"
"NHMUK";"ZOO";"127"
"NSMT";"P";"40"
"NY";"Herbarium";"249"
"NYBG";"DNA Bank";"274"
"NZAC";"NZAC";"8640"
"O";"DFL";"1995"
"O";"DP";"98256"
"OGL";"OGL";"108062"
"QCAZ";"tissue collection";"30649"
"QCAZ";"zoological collection";"30648"
"ROM";"Fishes";"12"
"ROS";"Diatoms";"72"
"SAIAB";"FC";"525"
"SAIAB";"FO";"8"
"SIO";"Marine Vertebrates";"6"
"SMF";"Collection Crustacea";"4"
"SMF";"Collection Mammalia";"8"
"SMF";"Collection Pisces";"4"
"SMF";"Collection Polychaeta";"120"
"SMF";"Collection Porifera";"1074"
"SMF";"Herbarium Senckenbergianum (FR) - Protista";"24"
"SMNG";"Biobank Collection";"697"
"SMNG";"Tissue Collection";"133"
"SMNHTAU";"Amphibia";"168"
"SMNHTAU";"Aves";"3807"
"SMNHTAU";"Mammalia";"3001"
"SMNHTAU";"Pisces";"792"
"SMNHTAU";"Reptilia";"2318"
"SMNS";"Arthropoda Collection";"1"
"SMNS";"Biobank Collection";"3791"
"SMNS";"Tissue Collection";"1968"
"TBG";"TBG";"275"
"TCWC";"Birds";"6748"
"TCWC";"Birds Tissue";"6749"
"TCWC";"Herpetology";"2474"
"TCWC";"Herpetology Tissue";"2474"
"TCWC";"Ichthyology";"3758"
"TCWC";"Ichthyology Tissue";"3760"
"TCWC";"Mammals";"6434"
"TCWC";"Mammals Tissue";"12427"
"UA";"UAIC";"21"
"UAM";"Bird";"44934"
"UAM";"Ento";"172083"
"UAM";"ES";"117"
"UAM";"Fish";"8863"
"UAM";"Herb";"256"
"UAM";"Herp";"312"
"UAM";"Inv";"38"
"UAM";"Mamm";"257843"
"UJ";"ACDB";"13169"
"UNAL";"GERPH";"1028"
"Universidad Nacional de Colombia (UNAL)";"GERPH-TDB";"1028"
"University of Guelph, Centre for Biodiversity Genomics";"BIOUG";"1500515"
"University of Guelph, Centre for Biodiversity Genomics";"BIOUG-DNA";"1500504"
"US";"Botany";"12974"
"US";"US";"37579"
"USNM";"Amphibians & Reptiles";"4324"
"USNM";"Amphibians and Reptiles";"5833"
"USNM";"Birds";"14070"
"USNM";"ENT";"28778"
"USNM";"Entomology";"29180"
"USNM";"Fish";"36258"
"USNM";"Fishes";"22832"
"USNM";"HERP";"15"
"USNM";"Invertebrate Zoology";"14215"
"USNM";"IZ";"71492"
"USNM";"MAMM";"24023"
"USNM";"Mammals";"9597"
"UWBM";"Bird";"5"
"UWFC";"ADULT COLLECTION";"32"
"VIMS";"VIMS";"8"
"W";"Herbarium W";"31"
"YPM";"VZ";"8"
"ZFMK";"Amphibia Collection";"1"
"ZFMK";"Arthropoda Collection";"2370"
"ZFMK";"Astrin, Jonas, Dr.";"1760"
"ZFMK";"Biobank Collection";"23"
"ZFMK";"Björn Rulik";"509"
"ZFMK";"Decher, Jan, Dr.";"71"
"ZFMK";"DNA Collection";"39954"
"ZFMK";"DNA-Bank Collection";"2"
"ZFMK";"GBOL collection";"6919"
"ZFMK";"GBOL-Amphibia";"41"
"ZFMK";"GBOL-Annelida";"36"
"ZFMK";"GBOL-Arachnida";"457"
"ZFMK";"GBOL-Archaeognatha";"16"
"ZFMK";"GBOL-Auchenorrhyncha";"1477"
"ZFMK";"GBOL-Aves";"1588"
"ZFMK";"GBOL-Coleoptera";"20834"
"ZFMK";"GBOL-Crustacea";"827"
"ZFMK";"GBOL-Dermaptera";"10"
"ZFMK";"GBOL-Dictyoptera";"13"
"ZFMK";"GBOL-Diptera";"10978"
"ZFMK";"GBOL-Entognatha";"11"
"ZFMK";"GBOL-Ephemeroptera";"9"
"ZFMK";"GBOL-Heteroptera";"4762"
"ZFMK";"GBOL-Hymenoptera general";"516"
"ZFMK";"GBOL-Hymenoptera: Formicidae";"76"
"ZFMK";"GBOL-INRES";"7"
"ZFMK";"GBOL-Lepidoptera";"38"
"ZFMK";"GBOL-Malaise";"1389"
"ZFMK";"GBOL-Mammalia";"979"
"ZFMK";"GBOL-Mantodea";"1"
"ZFMK";"GBOL-Mecoptera";"54"
"ZFMK";"GBOL-Megaloptera";"1"
"ZFMK";"GBOL-Mollusca";"41"
"ZFMK";"GBOL-Myriapoda";"1069"
"ZFMK";"GBOL-Nemathelminthes";"3"
"ZFMK";"GBOL-Neuroptera";"29"
"ZFMK";"GBOL-Odonata";"52"
"ZFMK";"GBOL-Orthoptera";"28"
"ZFMK";"GBOL-Pisces";"659"
"ZFMK";"GBOL-Plathelminthes";"12"
"ZFMK";"GBOL-Plecoptera";"5"
"ZFMK";"GBOL-Porifera";"3"
"ZFMK";"GBOL-Reptilia";"56"
"ZFMK";"GBOL-Rhaphidioptera";"2"
"ZFMK";"GBOL-Tardigrada";"26"
"ZFMK";"GBOL-Trichoptera";"156"
"ZFMK";"GBOL-Zygentoma";"4"
"ZFMK";"GBOL3-Diptera";"170"
"ZFMK";"GBOL3-Hymenoptera";"4"
"ZFMK";"Gewebebank";"79"
"ZFMK";"GGBC-Amphibia";"1"
"ZFMK";"GGBC-Arachnida";"933"
"ZFMK";"GGBC-Auchenorrhyncha";"37"
"ZFMK";"GGBC-Aves";"1"
"ZFMK";"GGBC-Coleoptera";"288"
"ZFMK";"GGBC-Crustacea";"12"
"ZFMK";"GGBC-Dermaptera";"1"
"ZFMK";"GGBC-Diptera";"792"
"ZFMK";"GGBC-Entognatha";"21"
"ZFMK";"GGBC-Ephemeroptera";"86"
"ZFMK";"GGBC-Heteroptera";"239"
"ZFMK";"GGBC-Hymenoptera";"66"
"ZFMK";"GGBC-Lepidoptera";"75"
"ZFMK";"GGBC-Mecoptera";"12"
"ZFMK";"GGBC-Mollusca";"38"
"ZFMK";"GGBC-Myriapoda";"195"
"ZFMK";"GGBC-Nemertini";"2"
"ZFMK";"GGBC-Neuroptera";"6"
"ZFMK";"GGBC-Orthoptera";"21"
"ZFMK";"GGBC-Pisces";"66"
"ZFMK";"GGBC-Plecoptera";"3"
"ZFMK";"GGBC-Psocoptera";"4"
"ZFMK";"GGBC-Reptilia";"6"
"ZFMK";"GGBC-Sternorrhyncha";"11"
"ZFMK";"GGBC-Thysanoptera";"2"
"ZFMK";"GGBC-Trichoptera";"113"
"ZFMK";"Huber, Bernhard, Dr.";"117"
"ZFMK";"Ichthyology Collection";"1973"
"ZFMK";"Mammalia Collection";"321"
"ZFMK";"Myriapoda Collection";"51"
"ZFMK";"Niethammer, J.";"4"
"ZFMK";"No collection";"152"
"ZFMK";"Reptilia Collection";"4"
"ZFMK";"Rulik, B.,";"2"
"ZFMK";"Section Arthropoda";"1"
"ZFMK";"Section Biobank";"30"
"ZFMK";"TIS";"283789"
"ZFMK";"Tissue Collection";"7015"
"ZMH";"Kaiser, Thomas M., Prof. Dr.";"1380"
"Zoological Museum of Moscow University";"BIOUG-DNA";"5"
